Date,Open,High,Low,Close,Adj Close,Volume
2020-02-24,35.160000,35.599998,34.180000,35.389999,35.389999,1231900
2020-02-25,35.660000,35.660000,33.820000,34.209999,34.209999,1034200
2020-02-26,34.439999,35.299999,33.669998,33.869999,33.869999,1686200
2020-02-27,28.350000,30.799999,26.770000,28.450001,28.450001,4289200
2020-02-28,26.799999,28.290001,25.110001,26.170000,26.170000,2975800
2020-03-02,26.780001,27.190001,25.430000,26.540001,26.540001,2160100
2020-03-03,26.830000,28.450001,25.600000,26.070000,26.070000,2574100
2020-03-04,26.430000,26.900000,25.500000,26.870001,26.870001,1239300
2020-03-05,25.900000,26.330000,23.959999,24.150000,24.150000,1745600
2020-03-06,23.100000,24.379999,23.049999,24.230000,24.230000,1873300
2020-03-09,22.040001,23.379999,21.549999,21.559999,21.559999,1442700
2020-03-10,22.450001,23.219999,21.170000,22.600000,22.600000,1387400
2020-03-11,22.150000,22.660000,20.049999,20.340000,20.340000,1333400
2020-03-12,18.860001,20.900000,17.389999,18.160000,18.160000,2352000
2020-03-13,19.590000,19.930000,17.030001,19.340000,19.340000,1990600
2020-03-16,16.160000,17.740000,16.160000,16.580000,16.580000,1904100
2020-03-17,16.930000,17.410000,14.010000,14.420000,14.420000,2704200
2020-03-18,13.560000,13.560000,8.400000,10.860000,10.860000,3579000
2020-03-19,10.860000,12.270000,10.710000,11.500000,11.500000,2853500
2020-03-20,11.790000,13.480000,10.470000,10.770000,10.770000,3675800
2020-03-23,10.910000,13.270000,9.680000,12.540000,12.540000,2098300
2020-03-24,13.460000,15.930000,13.190000,15.070000,15.070000,2085000
2020-03-25,15.540000,19.740000,15.000000,18.639999,18.639999,4203200
2020-03-26,18.879999,19.850000,17.930000,18.430000,18.430000,2284100
2020-03-27,18.000000,18.510000,16.580000,18.030001,18.030001,1058700
2020-03-30,17.910000,18.150000,16.670000,17.500000,17.500000,1070400
2020-03-31,17.190001,18.770000,16.459999,16.990000,16.990000,1431300
2020-04-01,15.830000,16.250000,15.120000,15.540000,15.540000,1094800
2020-04-02,15.340000,15.990000,15.020000,15.830000,15.830000,1031100
2020-04-03,15.500000,15.790000,13.510000,14.710000,14.710000,1775600
2020-04-06,15.670000,18.870001,15.270000,18.580000,18.580000,1986600
2020-04-07,19.860001,20.610001,17.670000,17.889999,17.889999,1764300
2020-04-08,19.330000,20.920000,18.110001,20.690001,20.690001,1987400
2020-04-09,21.459999,22.750000,20.450001,20.840000,20.840000,2596100
2020-04-13,20.840000,21.059999,19.709999,20.670000,20.670000,1250400
2020-04-14,21.309999,22.480000,21.000000,21.709999,21.709999,1624100
2020-04-15,20.549999,21.930000,20.209999,21.420000,21.420000,1408200
