Date,Open,High,Low,Close,Adj Close,Volume
2020-02-24,22.504999,22.514999,22.040001,22.045000,19.373150,373800
2020-02-25,22.120001,22.375000,21.010000,21.340000,18.753595,485400
2020-02-26,21.540001,22.014999,21.375000,22.004999,19.337997,1025600
2020-02-27,21.514999,22.400000,21.350000,22.040001,19.368755,705000
2020-02-28,21.325001,23.424999,20.625000,21.145000,18.582230,1255600
2020-03-02,21.139999,22.110001,20.730000,22.080000,19.403908,537600
2020-03-03,21.875000,22.235001,21.065001,21.174999,18.608593,572400
2020-03-04,21.485001,21.799999,21.020000,21.600000,18.982084,900800
2020-03-05,21.180000,21.485001,20.780001,21.125000,18.564653,699600
2020-03-06,22.420000,23.510000,21.180000,22.575001,19.838915,2808800
2020-03-09,21.235001,21.980000,17.855000,21.915001,19.258905,1704600
2020-03-10,22.000000,23.190001,20.344999,23.115000,20.313465,1155600
2020-03-11,22.620001,22.830000,20.730000,20.764999,18.248285,914400
2020-03-12,19.600000,22.160000,19.055000,19.440001,17.083876,1009400
2020-03-13,20.190001,20.934999,19.254999,20.090000,17.655096,650000
2020-03-16,18.469999,22.365000,18.100000,19.844999,17.439789,1066200
2020-03-17,20.040001,21.020000,19.250000,19.905001,17.492517,928400
2020-03-18,19.045000,21.090000,18.905001,20.625000,18.125254,859800
2020-03-19,20.555000,22.375000,19.799999,20.900000,18.366922,1065200
2020-03-20,20.985001,22.219999,20.135000,20.400000,17.927523,1030000
2020-03-23,20.615000,20.865000,18.385000,18.605000,16.350077,704600
2020-03-24,19.174999,20.580000,19.084999,20.295000,17.835249,568200
2020-03-25,20.420000,20.650000,18.980000,19.090000,16.776295,904200
2020-03-26,19.205000,19.940001,19.125000,19.235001,16.903721,662000
2020-03-27,18.820000,20.285000,18.770000,20.094999,17.659489,506200
2020-03-30,21.540001,21.965000,20.575001,21.355000,18.766777,1035000
2020-03-31,21.565001,23.049999,20.674999,21.325001,18.740414,1257600
2020-04-01,21.045000,21.315001,20.315001,20.625000,18.125254,662200
2020-04-02,20.500000,21.155001,19.825001,20.440001,17.962675,681600
2020-04-03,20.305000,21.270000,20.065001,21.139999,18.577835,704600
2020-04-06,21.605000,21.990000,20.950001,21.830000,19.184208,504200
2020-04-07,22.000000,23.245001,22.000000,23.165001,20.357407,940400
2020-04-08,23.225000,24.709999,22.690001,24.320000,21.372419,810200
2020-04-09,24.684999,25.895000,24.549999,25.674999,22.563192,696000
2020-04-13,25.725000,26.084999,24.315001,24.875000,21.860153,715800
2020-04-14,25.500000,26.270000,24.889999,26.129999,22.963047,439800
2020-04-15,26.000000,26.344999,25.080000,25.930000,22.787289,448800
2020-04-16,25.975000,26.430000,25.245001,25.990000,22.840015,478600
2020-04-17,26.410000,26.549999,25.184999,25.299999,22.233643,288000
2020-04-20,25.190001,25.799999,24.754999,24.785000,21.781061,337000
2020-04-21,24.590000,24.875000,24.105000,24.365000,21.411966,327600
2020-04-22,24.695000,24.995001,23.985001,24.110001,21.187872,247600
2020-04-23,24.180000,24.975000,23.990000,24.584999,21.605301,586600
2020-04-24,24.780001,25.805000,24.540001,25.690001,22.576376,613400
2020-04-27,25.930000,26.530001,25.260000,26.264999,23.081686,887400
2020-04-28,26.750000,27.245001,25.965000,26.004999,22.853197,545800
2020-04-29,26.305000,26.490000,25.629999,25.764999,22.642286,637600
2020-04-30,25.275000,25.725000,24.610001,25.115000,22.071066,521800
